delskala,itemnr,item
Ledningens Engagemang,q1_1,Ledningen uppmuntrar medarbetarna att arbeta säkert även i perioder när schemat är pressat.
Ledningens Engagemang,q1_2,Ledningen involverar medarbetarna i beslut som rör säkerheten.
Ledningens Engagemang,q1_3,Ledningen visar i sitt agerande att säkerhet alltid prioriteras högt.
Ledningens Engagemang,q2_1,Jag anser att ambitionen att minska antalet olyckor genomsyrar det dagliga arbetet.
Ledningens Engagemang,q3_7,Jag upplever att risker åtgärdas när de påtalats.
Säkert ledarskap,q2_3,Min närmsta chef berömmer oss ofta när vi jobbar säkert.
Säkert ledarskap,q2_4,Min närmsta chef påminner mig om att följa säkerhetsreglerna även i pressade situationer.
Säkert ledarskap,q2_5,Min närmsta chef lyssnar och agerar när jag berättar om något som inte fungerar gällande säkerheten.
Säkert ledarskap,q2_6,Min närmsta chef involverar mig i att prata om säkra beteenden och hur vi ska agera för att en olycka inte skall inträffa.
Förutsättningar,q3_1,Jag får de instruktioner och den vägledning jag behöver för att kunna utföra arbetet på ett säkert sätt.
Förutsättningar,q3_2,De säkerhetsföreskrifter och regler som gäller på vår arbetsplats är lätta att förstå och följa.
Förutsättningar,q3_4,Jag upplever att jag har rätt kompetens för att kunna jobba säkert.
Förutsättningar,q3_5,Jag upplever att jag har tillräckligt med tid för att kunna jobba säkert.
Förutsättningar,q3_6,Jag upplever att jag har tillgång till korrekt utrustning för att kunna jobba säkert.
Förutsättningar,q4_5,Jag kan påpeka brister i säkerheten utan rädsla för negativa konsekvenser.
Säkert medarbetarskap,q4_1,Vi hjälper varandra att jobba säkert även under stressiga perioder.
Säkert medarbetarskap,q4_2,När vi ser någon arbeta riskfyllt säger vi till personen.
Säkert medarbetarskap,q4_3,Som medarbetare visar vi uppskattning när någon arbetar säkert.
Säkert medarbetarskap,q4_6,Vi som arbetar här tar varandras synpunkter och förslag rörande säkerhet på allvar.
